,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYN,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolYN,PoolQC,Fence,MoSold,YrSold,SaleType,SaleCondition,Bathrooms
431,907290240,848,143000,120,RM,35.045015031318826,4426,Pave,0.0,1,4,4,Inside,3,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,169.0,4,3,PConc,4.0,3.0,3.0,6.0,662.0,1.0,0.0,186.0,848.0,GasA,5,Y,SBrkr,848,0,0,1.0,0.0,1,0,1,1,4,3,8,0,0.0,Attchd,yes,2.0,2.0,420.0,3.0,3.0,3,160,0,0,0,0,no,0.0,NO,5,2010,WD ,Normal,2.0
432,528478030,1992,250000,60,FV,75.0,9375,Pave,0.0,1,4,4,Inside,3,Somerst,Norm,Norm,1Fam,2Story,8,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,768.0,4,3,PConc,5.0,3.0,1.0,1.0,0.0,1.0,0.0,1053.0,1053.0,GasA,5,Y,SBrkr,1053,939,0,0.0,0.0,2,1,3,1,4,9,8,1,4.0,Attchd,yes,2.0,2.0,648.0,3.0,3.0,3,140,45,0,0,0,no,0.0,NO,8,2008,WD ,Normal,2.5
434,533208140,1245,178000,120,FV,37.0,3435,Pave,2.0,2,4,4,Corner,3,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,NO,0.0,4,3,PConc,4.0,3.0,1.0,6.0,24.0,1.0,0.0,1211.0,1235.0,GasA,5,Y,SBrkr,1245,0,0,0.0,0.0,2,0,1,1,4,5,8,0,0.0,Attchd,yes,2.0,2.0,495.0,3.0,3.0,3,0,100,0,0,0,no,0.0,NO,6,2008,WD ,Normal,2.0
435,528166150,2385,350000,60,RL,110.0,14277,Pave,0.0,1,4,4,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,280.0,4,3,PConc,5.0,3.0,2.0,6.0,938.0,1.0,0.0,379.0,1317.0,GasA,5,Y,SBrkr,1217,1168,0,1.0,0.0,2,1,3,1,4,7,8,1,4.0,Attchd,yes,3.0,3.0,818.0,3.0,3.0,3,192,228,0,0,0,no,0.0,NO,1,2007,WD ,Normal,3.5
436,905107140,1285,143500,20,RL,71.0,8197,Pave,0.0,1,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,660.0,660.0,GasA,5,Y,SBrkr,1285,0,0,0.0,0.0,1,1,3,1,3,7,8,1,3.0,Attchd,yes,2.0,2.0,528.0,3.0,3.0,3,138,0,0,0,0,no,0.0,MnPrv,4,2007,WD ,Normal,1.5
437,527180100,1442,180500,20,RL,99.0,11851,Pave,0.0,1,4,4,Corner,3,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,NO,0.0,3,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1424.0,1424.0,GasA,5,Y,SBrkr,1442,0,0,0.0,0.0,2,0,3,1,3,5,8,0,0.0,Attchd,yes,2.0,2.0,500.0,3.0,3.0,3,0,34,0,508,0,no,0.0,NO,5,2009,WD ,Normal,2.0
439,905101450,1068,154500,20,RL,70.0,8414,Pave,0.0,1,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,6,8,1963,2003,Hip,CompShg,HdBoard,HdBoard,NO,0.0,3,3,CBlock,3.0,3.0,1.0,6.0,663.0,1.0,0.0,396.0,1059.0,GasA,3,Y,SBrkr,1068,0,0,0.0,1.0,1,0,3,1,3,6,8,0,0.0,Attchd,yes,2.0,1.0,264.0,3.0,3.0,3,192,0,0,0,0,no,0.0,MnPrv,2,2006,WD ,Normal,1.5
440,914460110,1409,245000,20,RL,44.0,12864,Pave,0.0,2,4,4,CulDSac,3,Mitchel,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,NO,0.0,4,3,PConc,4.0,3.0,1.0,6.0,1392.0,1.0,0.0,17.0,1409.0,GasA,5,Y,SBrkr,1409,0,0,1.0,0.0,1,1,1,1,4,4,8,1,4.0,Attchd,yes,2.0,2.0,576.0,3.0,3.0,3,0,144,0,0,145,no,0.0,NO,7,2007,WD ,Normal,2.5
441,534400290,1313,153000,20,RL,85.0,9350,Pave,0.0,1,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1961,1995,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,217.0,3,3,CBlock,3.0,3.0,1.0,5.0,310.0,4.0,512.0,491.0,1313.0,GasA,3,Y,SBrkr,1313,0,0,1.0,0.0,1,1,3,1,4,6,8,1,3.0,Attchd,yes,2.0,2.0,610.0,3.0,3.0,3,172,28,0,0,121,no,0.0,MnPrv,2,2009,WD ,Normal,2.5
442,907254020,1852,230000,60,RL,73.0,9066,Pave,0.0,2,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,8,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,320.0,4,3,PConc,4.0,3.0,2.0,6.0,668.0,1.0,0.0,336.0,1004.0,GasA,5,Y,SBrkr,1004,848,0,0.0,0.0,2,1,3,1,4,7,8,2,3.0,Attchd,yes,3.0,3.0,660.0,3.0,3.0,3,224,106,0,0,0,no,0.0,GdPrv,12,2008,WD ,Normal,2.5
445,905226050,1416,112000,30,RL,200.63389875250513,25339,Pave,0.0,1,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,7,1918,2007,Gable,CompShg,Wd Sdng,Wd Sdng,NO,0.0,3,4,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,816.0,816.0,GasA,5,Y,SBrkr,1416,0,0,0.0,0.0,2,0,3,1,4,7,8,0,0.0,Attchd,yes,1.0,2.0,576.0,3.0,3.0,1,0,0,112,0,0,no,0.0,NO,8,2007,WD ,Normal,2.0
446,528253010,1314,207500,120,RL,34.0,5063,Pave,0.0,1,4,4,Inside,3,NridgHt,Norm,Norm,Twnhs,1Story,7,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,166.0,4,3,PConc,4.0,3.0,1.0,6.0,904.0,1.0,0.0,410.0,1314.0,GasA,5,Y,SBrkr,1314,0,0,1.0,0.0,2,0,2,1,4,6,8,1,4.0,Attchd,yes,2.0,2.0,626.0,3.0,3.0,3,172,62,0,0,0,no,0.0,NO,4,2009,ConLw,Normal,3.0
447,528228345,1455,195000,120,RL,31.196872847581602,3940,Pave,0.0,1,4,4,Inside,3,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,143.0,4,3,PConc,4.0,3.0,4.0,6.0,1073.0,1.0,0.0,342.0,1415.0,GasA,5,Y,SBrkr,1455,0,0,1.0,0.0,2,0,2,1,4,6,8,1,3.0,Attchd,yes,3.0,3.0,644.0,3.0,3.0,3,156,20,0,0,144,no,0.0,NO,8,2008,WD ,Normal,3.0
448,527425140,864,120500,20,RL,60.0,9000,Pave,0.0,1,4,4,FR2,3,NAmes,Norm,Norm,1Fam,1Story,4,6,1971,1971,Gable,CompShg,HdBoard,HdBoard,NO,0.0,3,3,PConc,3.0,3.0,1.0,5.0,616.0,1.0,0.0,248.0,864.0,GasA,3,Y,SBrkr,864,0,0,0.0,0.0,1,0,3,1,3,5,8,0,0.0,Detchd,yes,1.0,2.0,528.0,3.0,3.0,3,0,0,0,0,0,no,0.0,GdWo,5,2007,WD ,Normal,1.0
449,907135020,1099,144000,20,RL,75.0,9525,Pave,0.0,1,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,5,6,1995,2006,Gable,CompShg,VinylSd,VinylSd,NO,0.0,3,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1099.0,1099.0,GasA,5,Y,SBrkr,1099,0,0,0.0,0.0,1,1,3,1,4,6,8,0,0.0,Attchd,yes,1.0,1.0,352.0,3.0,3.0,3,278,0,0,0,0,no,0.0,NO,6,2008,WD ,Normal,1.5
450,533206040,1143,176400,120,FV,34.0,3628,Pave,2.0,1,4,4,Inside,3,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Gable,CompShg,MetalSd,MetalSd,NO,0.0,4,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1143.0,1143.0,GasA,5,Y,SBrkr,1143,0,0,0.0,0.0,1,1,1,1,4,5,8,1,4.0,Attchd,yes,2.0,2.0,588.0,3.0,3.0,3,0,191,0,0,0,no,0.0,NO,5,2006,WD ,Normal,1.5
451,535181140,1411,130000,20,RL,70.0,12198,Pave,0.0,2,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1955,1975,Gable,CompShg,VinylSd,VinylSd,NO,0.0,3,3,CBlock,3.0,3.0,3.0,3.0,780.0,1.0,0.0,424.0,1204.0,GasA,3,Y,SBrkr,1411,0,0,0.0,0.0,1,0,3,1,3,7,8,1,3.0,Attchd,yes,2.0,1.0,310.0,3.0,3.0,3,278,82,0,0,0,no,0.0,NO,6,2007,COD,Normal,1.0
452,902427045,882,97000,20,RM,70.0,12702,Pave,0.0,1,4,4,Inside,3,OldTown,Norm,Norm,1Fam,1Story,5,5,1956,1956,Gable,CompShg,BrkFace,BrkFace,NO,0.0,3,3,PConc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GasA,4,Y,FuseA,882,0,0,0.0,0.0,1,0,2,1,3,4,8,0,0.0,Detchd,yes,1.0,1.0,308.0,3.0,3.0,3,0,45,0,0,0,no,0.0,NO,12,2008,WD ,Normal,1.0
455,527450210,987,83000,160,RM,21.0,1953,Pave,0.0,1,4,4,Inside,3,BrDale,Norm,Norm,Twnhs,2Story,6,5,1973,1973,Gable,CompShg,HdBoard,HdBoard,BrkFace,408.0,3,3,CBlock,3.0,2.0,1.0,4.0,309.0,1.0,0.0,174.0,483.0,GasA,3,Y,SBrkr,483,504,0,0.0,0.0,1,1,2,1,3,5,8,0,0.0,Detchd,yes,1.0,1.0,264.0,3.0,3.0,3,72,0,0,0,0,no,0.0,NO,6,2006,WD ,Normal,1.5
456,532378200,912,142000,20,RL,65.0,6768,Pave,0.0,2,4,4,Inside,3,Sawyer,Feedr,Norm,1Fam,1Story,6,8,1961,1996,Hip,CompShg,HdBoard,HdBoard,NO,0.0,3,4,CBlock,3.0,3.0,2.0,6.0,832.0,1.0,0.0,80.0,912.0,GasA,4,Y,SBrkr,912,0,0,1.0,1.0,1,0,3,1,4,5,8,0,0.0,Detchd,yes,1.0,1.0,288.0,3.0,3.0,3,168,0,0,0,0,no,0.0,GdPrv,5,2008,WD ,Normal,2.5
457,909278020,1343,154900,50,RL,54.0,7681,Pave,0.0,2,4,4,FR2,3,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1921,1950,Gable,CompShg,Wd Sdng,Wd Sdng,NO,0.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,731.0,731.0,GasA,5,Y,SBrkr,820,523,0,0.0,0.0,1,1,3,1,3,7,8,1,4.0,Detchd,yes,1.0,1.0,186.0,2.0,3.0,3,192,0,102,0,0,no,0.0,NO,7,2009,WD ,Normal,1.5
458,534225110,1728,145000,90,RL,72.0,11072,Pave,0.0,2,4,4,Inside,3,NAmes,Norm,Norm,Duplex,1Story,5,5,1965,1965,Gable,CompShg,HdBoard,HdBoard,NO,0.0,3,3,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1728.0,1728.0,GasA,3,Y,SBrkr,1728,0,0,0.0,0.0,2,0,6,2,3,10,8,0,0.0,Detchd,yes,1.0,2.0,576.0,3.0,3.0,3,0,0,0,0,0,no,0.0,NO,11,2008,WD ,Normal,2.0
459,909451130,1045,123900,160,RM,24.0,1782,Pave,0.0,1,4,4,Inside,3,Blueste,Norm,Norm,Twnhs,2Story,6,6,1980,1980,Gable,CompShg,MetalSd,MetalSd,NO,0.0,3,4,CBlock,4.0,3.0,1.0,6.0,330.0,1.0,0.0,186.0,516.0,GasA,4,Y,SBrkr,529,516,0,0.0,0.0,1,0,2,1,3,5,8,1,3.0,Detchd,yes,1.0,2.0,462.0,3.0,3.0,3,180,0,0,0,0,no,0.0,MnPrv,12,2007,WD ,Normal,1.0
460,528142020,2088,250000,60,RL,74.0,8899,Pave,0.0,1,4,4,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2007,2007,Hip,CompShg,VinylSd,VinylSd,Stone,108.0,5,3,PConc,4.0,3.0,3.0,6.0,40.0,1.0,0.0,908.0,948.0,GasA,5,Y,SBrkr,948,1140,0,0.0,0.0,2,1,4,1,4,10,8,1,4.0,BuiltIn,yes,3.0,3.0,656.0,3.0,3.0,3,100,24,0,0,0,no,0.0,NO,6,2008,WD ,Normal,2.5
461,527404030,1050,143000,20,RL,67.3820781555633,8510,Pave,0.0,2,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1971,1971,Gable,CompShg,Plywood,Plywood,BrkFace,178.0,3,3,CBlock,4.0,3.0,1.0,5.0,500.0,1.0,0.0,543.0,1043.0,GasA,5,Y,SBrkr,1050,0,0,1.0,0.0,1,1,3,1,3,6,8,0,0.0,Attchd,yes,1.0,1.0,336.0,3.0,3.0,3,0,0,0,0,0,no,0.0,NO,7,2009,WD ,Normal,2.5
463,534151180,2075,255000,60,RL,78.0,10530,Pave,0.0,1,4,4,Inside,3,NWAmes,Norm,Norm,1Fam,2Story,7,6,1993,1993,Gable,CompShg,MetalSd,MetalSd,BrkFace,194.0,4,3,PConc,4.0,3.0,1.0,6.0,819.0,1.0,0.0,329.0,1148.0,GasA,5,Y,SBrkr,1091,984,0,1.0,0.0,2,1,3,1,4,8,8,1,4.0,Attchd,yes,1.0,2.0,473.0,3.0,3.0,3,235,86,0,0,0,no,0.0,NO,8,2007,WD ,Normal,3.5
464,908204090,960,131750,20,RL,64.0,6400,Pave,0.0,1,4,4,Inside,3,Edwards,Norm,Norm,1Fam,1Story,5,7,1959,2000,Gable,CompShg,WdShing,Wd Shng,NO,0.0,3,3,CBlock,3.0,3.0,3.0,3.0,77.0,5.0,831.0,52.0,960.0,GasA,5,Y,SBrkr,960,0,0,1.0,0.0,1,0,2,1,2,4,8,0,0.0,Detchd,yes,1.0,1.0,392.0,3.0,3.0,3,144,0,35,0,0,no,0.0,NO,12,2007,WD ,Normal,2.0
465,532354070,999,132500,20,RL,61.42775115521271,7758,Pave,0.0,2,4,4,Corner,3,Sawyer,Norm,Norm,1Fam,1Story,5,7,1962,2001,Gable,CompShg,HdBoard,Plywood,NO,0.0,3,4,CBlock,3.0,3.0,1.0,5.0,588.0,1.0,0.0,411.0,999.0,GasA,4,Y,SBrkr,999,0,0,1.0,0.0,1,0,3,1,4,6,8,0,0.0,Detchd,yes,1.0,1.0,264.0,3.0,3.0,3,0,132,0,0,0,no,0.0,NO,3,2007,WD ,Normal,2.0
466,527302070,1260,181900,20,RL,85.71222045052559,10825,Pave,0.0,2,4,4,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,7,7,1983,1983,Gable,CompShg,WdShing,Plywood,BrkFace,174.0,4,3,CBlock,4.0,3.0,2.0,6.0,747.0,1.0,0.0,513.0,1260.0,GasA,3,Y,SBrkr,1260,0,0,1.0,0.0,2,0,3,1,3,6,8,0,0.0,Attchd,yes,1.0,2.0,598.0,3.0,3.0,3,152,0,0,0,0,no,0.0,NO,7,2008,WD ,Normal,3.0
467,527214030,1884,387000,20,RL,53.0,15401,Pave,0.0,2,2,4,CulDSac,3,StoneBr,Norm,Norm,1Fam,1Story,9,5,2004,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,296.0,5,3,PConc,5.0,3.0,4.0,6.0,1337.0,1.0,0.0,547.0,1884.0,GasA,5,Y,SBrkr,1884,0,0,1.0,0.0,2,0,2,1,5,7,8,1,4.0,Attchd,yes,3.0,3.0,670.0,3.0,3.0,3,214,76,0,0,0,no,0.0,NO,9,2008,WD ,Normal,3.0
468,533128030,2295,268000,60,RL,105.6734682801584,13346,Pave,0.0,2,4,4,CulDSac,3,NoRidge,Norm,Norm,1Fam,2Story,7,5,1992,2000,Gable,CompShg,HdBoard,HdBoard,NO,0.0,4,3,PConc,4.0,3.0,1.0,6.0,728.0,1.0,0.0,367.0,1095.0,GasA,5,Y,SBrkr,1166,1129,0,1.0,0.0,2,1,4,1,4,9,8,1,3.0,Attchd,yes,2.0,2.0,590.0,3.0,3.0,3,0,40,0,0,0,no,0.0,NO,7,2006,WD ,Normal,3.5
469,902330010,2358,122000,70,RM,50.0,5250,Pave,2.0,1,4,4,Inside,3,OldTown,Norm,Norm,1Fam,2Story,8,5,1872,1987,Gable,CompShg,MetalSd,MetalSd,NO,0.0,3,4,BrkTil,3.0,2.0,1.0,2.0,259.0,1.0,0.0,425.0,684.0,OthW,2,N,SBrkr,938,1215,205,0.0,0.0,2,0,4,1,3,8,8,0,0.0,NO,no,0.0,0.0,0.0,0.0,0.0,3,0,54,20,0,0,no,0.0,NO,12,2008,WD ,Normal,2.0
470,923228150,1344,97000,160,RM,21.0,1533,Pave,0.0,1,4,4,Inside,3,MeadowV,Norm,Norm,Twnhs,2Story,4,6,1970,2008,Gable,CompShg,CemntBd,CmentBd,NO,0.0,3,3,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,546.0,546.0,GasA,3,Y,SBrkr,798,546,0,0.0,0.0,1,1,3,1,3,6,8,1,3.0,NO,no,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,no,0.0,NO,5,2009,WD ,Normal,1.5
471,527302080,2183,229000,50,RL,109.56120040405753,13837,Pave,0.0,2,4,4,Corner,3,NWAmes,Norm,Norm,1Fam,1.5Fin,7,5,1988,1988,Gable,CompShg,HdBoard,HdBoard,BrkFace,178.0,4,4,PConc,4.0,4.0,1.0,6.0,1002.0,2.0,202.0,0.0,1204.0,GasA,4,Y,SBrkr,1377,806,0,0.0,0.0,2,1,4,1,4,9,8,0,0.0,Attchd,yes,1.0,3.0,786.0,3.0,3.0,3,0,0,0,0,0,no,0.0,NO,2,2006,WD ,Normal,2.5
472,528344040,2450,340000,60,RL,131.0031119957456,16545,Pave,0.0,2,4,4,Inside,3,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,731.0,4,3,PConc,4.0,3.0,2.0,6.0,781.0,1.0,0.0,503.0,1284.0,GasA,5,Y,SBrkr,1310,1140,0,1.0,0.0,2,1,3,1,4,7,8,1,3.0,Attchd,yes,3.0,3.0,1069.0,3.0,3.0,3,0,126,0,0,0,no,0.0,NO,5,2009,WD ,Normal,3.5
474,535375050,1656,135000,50,RL,60.0,10410,Pave,0.0,1,4,4,Inside,3,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1916,1987,Gable,CompShg,HdBoard,HdBoard,NO,0.0,3,3,CBlock,2.0,3.0,1.0,1.0,0.0,1.0,0.0,660.0,660.0,GasA,5,Y,SBrkr,808,704,144,0.0,0.0,2,1,3,1,3,8,6,0,0.0,Detchd,yes,1.0,1.0,180.0,2.0,2.0,1,0,0,0,140,0,no,0.0,MnPrv,8,2009,WD ,Normal,2.5
475,535376060,1352,149000,60,RL,60.0,10800,Pave,0.0,1,4,4,Inside,3,OldTown,Norm,Norm,1Fam,2Story,5,7,1939,2006,Gable,CompShg,VinylSd,VinylSd,NO,0.0,3,4,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,676.0,676.0,GasA,5,Y,SBrkr,676,676,0,0.0,1.0,2,0,4,1,4,7,8,0,0.0,Detchd,yes,1.0,2.0,720.0,3.0,3.0,3,187,0,128,0,0,no,0.0,NO,8,2009,WD ,Normal,2.5
476,924151040,1803,285000,20,RL,76.0,9892,Pave,0.0,1,4,4,Inside,2,Mitchel,Norm,Norm,1Fam,1Story,8,5,1994,1995,Hip,CompShg,VinylSd,VinylSd,NO,0.0,4,4,PConc,4.0,4.0,4.0,6.0,1341.0,2.0,284.0,54.0,1679.0,GasA,5,Y,SBrkr,1803,0,0,1.0,1.0,2,1,3,1,4,6,8,2,3.0,Attchd,yes,1.0,2.0,482.0,3.0,3.0,3,129,64,222,0,0,no,0.0,GdWo,2,2010,WD ,Normal,4.0
477,528186160,1342,234250,120,RL,48.0,6240,Pave,0.0,1,4,4,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,176.0,4,3,PConc,4.0,3.0,1.0,6.0,846.0,1.0,0.0,496.0,1342.0,GasA,5,Y,SBrkr,1342,0,0,1.0,0.0,2,0,2,1,4,6,8,1,4.0,Attchd,yes,3.0,2.0,550.0,3.0,3.0,3,0,35,0,0,0,no,0.0,NO,6,2008,WD ,Normal,3.0
478,532351150,1654,119500,90,RM,68.0,8927,Pave,0.0,1,4,4,Inside,3,Sawyer,RRAe,Norm,Duplex,1.5Fin,6,6,1977,1977,Gable,CompShg,VinylSd,VinylSd,NO,0.0,3,4,CBlock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GasA,3,Y,SBrkr,1286,368,0,0.0,0.0,2,0,4,2,3,10,8,0,0.0,Attchd,yes,2.0,2.0,528.0,3.0,3.0,3,0,0,0,0,0,no,0.0,NO,8,2006,WD ,Normal,2.0
480,527452310,900,123000,85,RL,68.0,7838,Pave,0.0,1,4,4,Inside,3,NAmes,Norm,Norm,1Fam,SFoyer,5,5,1967,1967,Gable,CompShg,HdBoard,HdBoard,NO,0.0,3,3,CBlock,3.0,3.0,3.0,5.0,769.0,1.0,0.0,95.0,864.0,GasA,3,Y,SBrkr,900,0,0,1.0,0.0,1,0,3,1,3,6,8,1,1.0,Attchd,yes,2.0,1.0,288.0,3.0,3.0,3,175,144,0,0,0,no,0.0,MnWw,12,2006,WD ,Normal,2.0
481,909250200,1510,149000,70,RL,69.0,4899,Pave,0.0,1,2,4,Corner,3,SWISU,Norm,Norm,1Fam,2Story,6,8,1920,1950,Gable,CompShg,MetalSd,MetalSd,NO,0.0,3,3,PConc,3.0,3.0,1.0,4.0,305.0,1.0,0.0,450.0,755.0,GasA,5,Y,SBrkr,755,755,0,0.0,0.0,1,0,3,1,3,6,8,0,0.0,Detchd,yes,1.0,1.0,216.0,3.0,3.0,3,0,0,164,0,0,no,0.0,NO,6,2006,WD ,Normal,1.0
482,905101300,1832,136000,90,RL,72.0,10773,Pave,0.0,1,4,4,Inside,3,Sawyer,Norm,Norm,Duplex,1Story,4,3,1967,1967,Gable,Tar&Grv,Plywood,Plywood,BrkFace,72.0,2,2,CBlock,3.0,3.0,1.0,5.0,704.0,1.0,0.0,1128.0,1832.0,GasA,3,N,SBrkr,1832,0,0,2.0,0.0,2,0,4,2,3,8,8,0,0.0,NO,no,0.0,0.0,0.0,0.0,0.0,3,0,58,0,0,0,no,0.0,NO,5,2010,WD ,Normal,4.0
483,902329080,1288,119000,70,RM,60.0,3600,Pave,1.0,1,4,4,Inside,3,OldTown,Norm,Norm,1Fam,2Story,6,7,1917,2007,Gable,CompShg,Stucco,Stucco,NO,0.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,624.0,624.0,GasA,5,Y,SBrkr,664,624,0,1.0,0.0,1,0,3,1,5,5,8,1,4.0,Attchd,yes,1.0,1.0,280.0,3.0,3.0,1,0,103,0,0,0,no,0.0,NO,5,2009,WD ,Normal,2.0
484,903225140,1210,124000,50,RM,50.0,5000,Pave,0.0,1,4,4,Inside,3,BrkSide,Feedr,Norm,1Fam,1.5Fin,5,7,1941,2006,Gable,CompShg,Wd Sdng,Wd Sdng,NO,0.0,3,4,CBlock,3.0,3.0,1.0,5.0,600.0,1.0,0.0,72.0,672.0,GasA,5,Y,SBrkr,832,378,0,0.0,0.0,1,0,3,1,4,6,8,0,0.0,Detchd,yes,1.0,1.0,240.0,3.0,3.0,2,0,0,0,0,0,no,0.0,NO,5,2008,WD ,Normal,1.0
486,534452060,1077,118000,190,RL,50.0,7420,Pave,0.0,1,4,4,Corner,3,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,NO,0.0,3,3,BrkTil,3.0,3.0,1.0,6.0,851.0,1.0,0.0,140.0,991.0,GasA,5,Y,SBrkr,1077,0,0,1.0,0.0,1,0,2,2,3,5,8,2,3.0,Attchd,yes,2.0,1.0,205.0,4.0,3.0,3,0,4,0,0,0,no,0.0,NO,1,2008,WD ,Normal,2.0
487,532476050,2646,260000,80,RL,100.0,14330,Pave,0.0,2,1,4,Corner,3,Veenker,Norm,Norm,1Fam,SLvl,7,4,1974,1974,Gable,CompShg,WdShing,Wd Sdng,BrkFace,145.0,4,2,CBlock,4.0,3.0,4.0,5.0,1023.0,4.0,497.0,228.0,1748.0,GasA,4,Y,SBrkr,2151,495,0,1.0,2.0,2,0,3,1,4,9,5,4,3.0,Attchd,yes,2.0,2.0,550.0,3.0,3.0,3,641,100,0,0,0,yes,4.0,GdPrv,1,2006,WD ,Normal,4.0
488,909428110,1336,157000,190,RL,90.0,15750,Pave,0.0,1,4,4,Corner,3,Crawfor,Norm,Norm,2fmCon,1Story,5,5,1953,1953,Hip,CompShg,MetalSd,MetalSd,BrkFace,56.0,3,3,CBlock,3.0,3.0,2.0,4.0,841.0,1.0,0.0,324.0,1165.0,GasA,3,Y,SBrkr,1336,0,0,1.0,0.0,1,0,2,1,3,5,8,2,4.0,Attchd,yes,1.0,1.0,375.0,3.0,3.0,3,0,0,0,0,0,no,0.0,NO,6,2006,WD ,Normal,2.0
490,533110130,2417,260000,60,RL,121.0,16059,Pave,0.0,1,4,4,Corner,3,NoRidge,Norm,Norm,1Fam,2Story,8,5,1991,1992,Hip,CompShg,HdBoard,HdBoard,BrkFace,284.0,4,3,CBlock,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1288.0,1288.0,GasA,5,Y,SBrkr,1301,1116,0,0.0,0.0,2,1,4,1,4,9,8,1,3.0,Attchd,yes,1.0,2.0,462.0,3.0,3.0,3,127,82,0,0,0,no,0.0,NO,4,2006,WD ,Normal,2.5
